Time (s),Latitude,Longitude
2,-27.93454934,153.3911746
3,-27.93455036,153.391181
4,-27.93455155,153.3911883
5,-27.93455288,153.3911963
6,-27.93455434,153.391205
7,-27.93455592,153.3912142
8,-27.9345576,153.3912239
9,-27.93455937,153.391234
10,-27.9345608,153.3912428
11,-27.93456271,153.3912534
12,-27.93456491,153.3912648
13,-27.93456727,153.3912768
14,-27.93456971,153.3912888
15,-27.93457205,153.3913005
16,-27.9345737,153.3913093
17,-27.93457521,153.3913173
18,-27.9345769,153.3913263
19,-27.93457872,153.3913359
20,-27.93458065,153.3913459
21,-27.9345825,153.3913556
22,-27.93458444,153.3913656
23,-27.93458587,153.391374
24,-27.93458732,153.3913826
25,-27.9345889,153.3913919
26,-27.93459069,153.3914022
27,-27.93459269,153.3914134
28,-27.93459527,153.3914271
29,-27.93459812,153.3914416
30,-27.93460038,153.3914537
31,-27.9346027,153.391466
32,-27.93460531,153.3914793
33,-27.93460791,153.3914923
34,-27.93461047,153.391505
35,-27.93461326,153.3915183
36,-27.93461613,153.3915319
37,-27.93461898,153.3915458
38,-27.93462144,153.3915584
39,-27.93462388,153.3915713
40,-27.93462635,153.3915845
41,-27.93462878,153.3915977
42,-27.93463122,153.3916112
43,-27.93463324,153.3916231
44,-27.93463525,153.3916347
45,-27.93463734,153.3916463
46,-27.93463956,153.391658
